,Hour Ending,LMP,UTC timestamp,ba_name,freq,market
0,1.0,37.30667,2018-01-01 08:00:00+00:00,CAISO,hourly,DAM
1,2.0,35.58244,2018-01-01 09:00:00+00:00,CAISO,hourly,DAM
2,3.0,33.63324,2018-01-01 10:00:00+00:00,CAISO,hourly,DAM
3,4.0,32.38973,2018-01-01 11:00:00+00:00,CAISO,hourly,DAM
4,5.0,32.47307,2018-01-01 12:00:00+00:00,CAISO,hourly,DAM
5,6.0,33.90838,2018-01-01 13:00:00+00:00,CAISO,hourly,DAM
6,7.0,35.50147,2018-01-01 14:00:00+00:00,CAISO,hourly,DAM
7,8.0,34.86829,2018-01-01 15:00:00+00:00,CAISO,hourly,DAM
8,9.0,31.01033,2018-01-01 16:00:00+00:00,CAISO,hourly,DAM
9,10.0,26.6732,2018-01-01 17:00:00+00:00,CAISO,hourly,DAM
10,11.0,25.08738,2018-01-01 18:00:00+00:00,CAISO,hourly,DAM
11,12.0,24.17956,2018-01-01 19:00:00+00:00,CAISO,hourly,DAM
12,13.0,23.18217,2018-01-01 20:00:00+00:00,CAISO,hourly,DAM
13,14.0,24.26872,2018-01-01 21:00:00+00:00,CAISO,hourly,DAM
14,15.0,26.87774,2018-01-01 22:00:00+00:00,CAISO,hourly,DAM
15,16.0,32.40906,2018-01-01 23:00:00+00:00,CAISO,hourly,DAM
16,17.0,38.62104,2018-01-02 00:00:00+00:00,CAISO,hourly,DAM
17,18.0,50.02673,2018-01-02 01:00:00+00:00,CAISO,hourly,DAM
18,19.0,48.67069,2018-01-02 02:00:00+00:00,CAISO,hourly,DAM
19,20.0,50.42254,2018-01-02 03:00:00+00:00,CAISO,hourly,DAM
20,21.0,42.92468,2018-01-02 04:00:00+00:00,CAISO,hourly,DAM
21,22.0,40.38621,2018-01-02 05:00:00+00:00,CAISO,hourly,DAM
22,23.0,38.22227,2018-01-02 06:00:00+00:00,CAISO,hourly,DAM
23,24.0,35.82086,2018-01-02 07:00:00+00:00,CAISO,hourly,DAM
